estab_id,cnpj,razao_social,cnae_original,setor,atividade,regra,fonte,evidencia
53707,30964795000119,CEP SERVICOS E PROJETOS LTDA,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
53708,30965938000107,BIL IMPORTACAO E EXPORTACAO LTDA,13235,"Têxtil, Vestuário e Calçados",Têxtil,cnae_2:13,CNAE declarada no Portal da Transparência,13235
53709,30967830000153,RYDIEN EMPREENDIMENTOS LTDA,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
53710,30968683000136,PIER 13 RESTAURANTE LTDA,56112,"Turismo, Hotelaria e Alimentação",Restaurantes e alimentação,cnae_3:561,CNAE declarada no Portal da Transparência,56112
53711,30969457000170,BUGRES COMERCIO DE FRUTAS LTDA,46320,Alimentos e Bebidas,Comércio de alimentos,cnae_3:463,CNAE declarada no Portal da Transparência,46320
53712,30971141000112,JOSE ALBERTO JULIO,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
53713,30974737000176,ALCON-COMPANHIA DE ALCOOL CONCEICAO DA BARRA,19314,"Petróleo, Gás e Combustíveis",Biocombustíveis,cnae_3:193,CNAE declarada no Portal da Transparência,19314
53714,30974929000182,CENTRO EDUCACIONAL N. I. E. LTDA,85139,Educação,Educação básica,cnae_3:851,CNAE declarada no Portal da Transparência,85139
53715,30980103000126,TATICA SOLUCOES COMERCIO E IMPORTACAO DE ARMAS E ACESSORIOS LTDA,47890,Comércio Diversificado,Comércio varejista — diversos,cnae_2:47,CNAE declarada no Portal da Transparência,47890
53716,30980559000196,"JM VELLAME COMERCIO, REPRESENTACAO, LOCACAO E MANUTENCAO DE EQUIPAMENTOS MEDICOS LTDA",74901,Serviços Profissionais,Outros serviços profissionais,cnae_2:74,CNAE declarada no Portal da Transparência,74901
53717,30983200000172,GCABE ELECTRIC CONDUCTORS CABOS ESPECIAIS LTDA,27333,Máquinas e Equipamentos,Equipamentos elétricos,cnae_2:27,CNAE declarada no Portal da Transparência,27333
53718,30983948000175,CENTRAL COMERCIALIZADORA DE ENERGIA LTDA,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
53719,30984506000143,PETROL COMBUSTIVEIS BELO ORIENTE LTDA,47318,"Petróleo, Gás e Combustíveis",Combustíveis,cnae_3:473,CNAE declarada no Portal da Transparência,47318
53720,30984692000110,M2 PRODUCOES ARTISTICAS LTDA,90019,"Mídia, Cultura e Entretenimento",Artes e espetáculos,cnae_2:90,CNAE declarada no Portal da Transparência,90019
53721,30984754000194,DIAGFAST PRODUTOS PARA LABORATORIOS LTDA,32507,Outras Indústrias,Outras indústrias,cnae_2:32,CNAE declarada no Portal da Transparência,32507
53722,30985200000101,MAXXITRADE COMERCIO INTERNACIONAL LTDA,47440,Materiais de Construção,Materiais de construção,cnae_3:474,CNAE declarada no Portal da Transparência,47440
53723,30985912000120,DEVANT TECH COMERCIAL LTDA,46931,Comércio Diversificado,Comércio atacadista — diversos,cnae_2:46,CNAE declarada no Portal da Transparência,46931
53724,30986255000136,BMQ AUTOMOVEIS LTDA,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
53725,30986413000158,UNITY PARTICIPACOES S/A,64638,Holdings e Participações,Holdings e participações,cnae_3:646,CNAE declarada no Portal da Transparência,64638
53726,30987241000137,JL MANUTENCAO E SERVICOS EM GERAL LTDA,85996,Educação,Outras atividades de ensino,cnae_3:859,CNAE declarada no Portal da Transparência,85996
53727,30996108000147,LIGA EQUIPAMENTOS E AUTOMACAO INDUSTRIAL S/A,28330,Máquinas e Equipamentos,Máquinas agrícolas,cnae_3:283,CNAE declarada no Portal da Transparência,28330
53728,30997192000113,SAO PEDRO E PAULO VI ENERGIA SPE S/A,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
53729,30997905000149,SAO PEDRO E PAULO V ENERGIA SPE S/A,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
53730,30998058000137,G P C ENGENHARIA LTDA,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
53731,31000498000116,FH SERVICOS DE TECNOLOGIA LTDA,62040,Tecnologia da Informação,Tecnologia da informação,cnae_2:62,CNAE declarada no Portal da Transparência,62040
53732,31000515000115,J9 MARKETING DESPORTIVO LTDA,74901,Serviços Profissionais,Outros serviços profissionais,cnae_2:74,CNAE declarada no Portal da Transparência,74901
53733,31002562000106,VOLTALIA SERVICOS DO BRASIL LTDA,71120,Serviços Profissionais,Engenharia e arquitetura,cnae_3:711,CNAE declarada no Portal da Transparência,71120
53734,31003412000109,UNDERDOGS PRODUCOES LTDA,59111,"Mídia, Cultura e Entretenimento",Audiovisual e música,cnae_2:59,CNAE declarada no Portal da Transparência,59111
53735,31004013000162,LIVRARIA DA TRAVESSA LTDA,47610,"Mídia, Cultura e Entretenimento",Livros e papelaria,cnae_5:47610,CNAE declarada no Portal da Transparência,47610
53736,31005678000190,VICENTE DE PAULO LEITE EMPREENDIMENTOS LTDA,55108,"Turismo, Hotelaria e Alimentação",Hotéis e hospedagem,cnae_3:551,CNAE declarada no Portal da Transparência,55108
53737,31007468000131,EMOVI VIGILANCIA E SEGURANCA LTDA,80111,Serviços Administrativos e Operacionais,Segurança e vigilância,cnae_2:80,CNAE declarada no Portal da Transparência,80111
53738,31008318000142,GUERRA IMPLEMENTOS RODOVIARIOS S/A,29301,Automotivo,Carrocerias e reboques,cnae_3:293,CNAE declarada no Portal da Transparência,29301
